City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
128,Plettenberg Bay,ZA,2021-03-30 05:56:57,-34.0527,23.3716,70.7,53,25,2.98
129,Kristinehamn,SE,2021-03-30 06:02:13,59.3098,14.1081,48.2,100,90,5.75
130,Kavaratti,IN,2021-03-30 06:02:17,10.5669,72.642,83.53,72,100,6.93
131,Port Hardy,CA,2021-03-30 06:01:35,50.6996,-127.4199,42.8,75,75,5.75
132,Iqaluit,CA,2021-03-30 05:57:46,63.7506,-68.5145,-2.2,71,75,16.11
133,Upernavik,GL,2021-03-30 05:55:57,72.7868,-56.1549,1.26,72,99,6.6
134,Dikson,RU,2021-03-30 06:00:00,73.5069,80.5464,-18.29,92,41,9.24
135,Sal Rei,CV,2021-03-30 06:08:58,16.1833,-22.9167,66.2,77,75,9.22
136,Port Elizabeth,ZA,2021-03-30 06:01:55,-33.918,25.5701,60.8,100,0,8.05
137,Ponta Delgada,PT,2021-03-30 06:04:49,37.7333,-25.6667,57.2,88,75,11.5
138,Suclayin,PH,2021-03-30 06:08:58,15.7568,121.5503,87.53,56,92,6.53
139,Villarrubia de los Ojos,ES,2021-03-30 06:08:59,39.2209,-3.608,48.0,87,0,8.05
140,Ayagoz,KZ,2021-03-30 06:08:59,47.9714,80.4392,32.43,40,100,3.38
141,Bambous Virieux,MU,2021-03-30 06:00:06,-20.3428,57.7575,86.0,78,40,5.75
142,Voznesen'ye,RU,2021-03-30 06:09:00,61.0106,35.4781,37.49,96,100,19.6
143,Cap-aux-Meules,CA,2021-03-30 06:09:00,47.3821,-61.8597,30.2,69,96,33.38
144,Saint-Philippe,RE,2021-03-30 06:00:44,-21.3585,55.7679,84.2,70,0,6.91
145,Jinchang,CN,2021-03-30 06:09:01,38.4953,102.1739,56.75,23,100,12.59
146,Balagansk,RU,2021-03-30 06:09:01,54.0103,103.0544,34.93,95,100,9.01
147,Taoudenni,ML,2021-03-30 06:09:01,22.6783,-3.9836,73.94,8,55,10.6
148,Bikin,RU,2021-03-30 06:09:02,46.8161,134.26,38.01,93,100,5.7
149,Innisfail,AU,2021-03-30 06:02:35,-17.5333,146.0333,79.57,73,100,14.27
150,Ruteng,ID,2021-03-30 06:09:02,-8.6136,120.4721,66.7,93,100,1.45
151,Taunggyi,MM,2021-03-30 06:09:03,20.7833,97.0333,84.74,14,5,13.51
152,Altus,US,2021-03-30 06:09:03,34.6381,-99.334,62.6,36,1,16.11
153,Igrim,RU,2021-03-30 06:09:03,63.1906,64.4162,34.0,100,97,3.94
154,Lebu,CL,2021-03-30 05:57:39,-37.6167,-73.65,53.8,93,20,4.68
